Date,Open,High,Low,Close,Adj Close,Volume
2015-10-07,242.98,242.98,247.28,241.65,246.14,15363142.0
2015-10-08,242.58,242.58,244.79,241.57,242.98,10762328.0
2015-10-09,244.04,244.04,244.56,241.34,242.58,9897714.0
2015-10-10,245.35,245.35,245.93,242.89,244.04,9547124.0
2015-10-11,247.65,247.65,248.26,244.47,245.35,10232454.0
2015-10-12,245.35,245.35,248.02,244.65,247.65,9961674.0
2015-10-13,248.78,248.78,251.19,243.11,245.35,18553307.0
2015-10-14,252.33,252.33,255.06,248.28,248.78,17511356.0
2015-10-15,254.44,254.44,256.76,251.17,252.33,15465023.0
2015-10-16,262.87,262.87,267.27,253.93,254.44,24886162.0
2015-10-17,269.58,269.58,275.41,261.74,262.87,30715446.0
2015-10-18,261.67,261.67,272.44,259.53,269.58,13921233.0
2015-10-19,263.82,263.82,265.95,259.89,261.67,15352671.0
2015-10-20,269.75,269.75,272.12,262.7,263.82,20200355.0
2015-10-21,267.11,267.11,272.17,263.54,269.75,16006977.0
2015-10-22,274.42,274.42,278.74,266.8,267.11,25481882.0
2015-10-23,276.92,276.92,279.77,273.17,274.42,19221822.0
2015-10-24,282.56,282.56,283.05,277.01,276.92,16875626.0
2015-10-25,287.86,287.86,295.56,281.75,282.56,32946170.0
2015-10-26,285.15,285.15,287.62,279.62,287.86,20794049.0
2015-10-27,294.66,294.66,298.43,285.09,285.15,31003938.0
2015-10-28,303.54,303.54,307.46,294.02,294.66,35117112.0
2015-10-29,313.63,313.63,318.48,300.16,303.54,43194878.0
2015-10-30,327.12,327.12,334.92,310.82,313.63,50796456.0
2015-10-31,311.24,311.24,333.25,304.6,327.12,33762428.0
2015-11-01,322.95,322.95,324.34,304.72,311.24,23427549.0
2015-11-02,359.28,359.28,365.75,319.75,322.95,76864059.0
2015-11-03,396.49,396.49,416.78,354.58,359.28,163481625.0
2015-11-04,400.89,400.89,492.8,368.62,396.49,229673024.0
2015-11-05,382.7,382.7,447.24,366.08,400.89,121763708.0
2015-11-06,369.81,369.81,396.35,348.84,382.7,94921694.0
2015-11-07,385.09,385.09,391.75,368.98,369.81,39495095.0
2015-11-08,371.56,371.56,389.78,365.49,385.09,35907981.0
2015-11-09,380.22,380.22,385.11,360.17,371.56,47074440.0
2015-11-10,336.69,336.69,381.38,323.21,380.22,74896052.0
2015-11-11,304.71,304.71,341.76,292.38,336.69,83078426.0
2015-11-12,333.85,333.85,346.13,306.07,304.71,54120828.0
2015-11-13,333.77,333.77,341.79,323.91,333.85,32480298.0
2015-11-14,331.77,331.77,369.8,326.35,333.77,23836097.0
2015-11-15,317.45,317.45,334.78,314.16,331.77,28640663.0
2015-11-16,330.21,330.21,332.01,314.06,317.45,28260517.0
2015-11-17,333.91,333.91,342.91,328.15,330.21,32944787.0
2015-11-18,335.92,335.92,337.39,329.42,333.91,26194853.0
2015-11-19,324.98,324.98,335.64,323.36,335.92,28543062.0
2015-11-20,321.12,321.12,327.06,309.48,324.98,35090324.0
2015-11-21,324.7,324.7,328.42,318.37,321.12,14652996.0
2015-11-22,322.78,322.78,326.94,319.35,324.7,11915632.0
2015-11-23,322.12,322.12,325.0,319.89,322.78,13839023.0
2015-11-24,318.35,318.35,323.26,315.54,322.12,16282941.0
2015-11-25,327.52,327.52,330.04,315.69,318.35,25200934.0
2015-11-26,353.74,353.74,368.92,327.4,327.52,73395832.0
2015-11-27,359.52,359.52,363.9,345.15,353.74,36955394.0
2015-11-28,355.83,355.83,360.08,350.49,359.52,19988111.0
2015-11-29,370.84,370.84,372.84,354.55,355.83,24546100.0
2015-11-30,377.97,377.97,382.56,367.87,370.84,48913368.0
2015-12-01,361.8,361.8,379.02,353.66,377.97,40821470.0
2015-12-02,359.98,359.98,363.43,347.16,361.8,32881089.0
2015-12-03,360.31,360.31,371.37,355.47,359.98,31673283.0
2015-12-04,361.67,361.67,363.95,354.31,360.31,21820610.0
2015-12-05,386.69,386.69,390.28,361.5,361.67,43438102.0
2015-12-06,393.38,393.38,402.19,382.62,386.69,52068577.0
2015-12-07,394.28,394.28,398.74,381.69,393.38,38102878.0
2015-12-08,410.67,410.67,411.07,388.03,394.28,29543120.0
2015-12-09,416.0,416.0,424.58,403.26,410.67,61289838.0
2015-12-10,415.49,415.49,420.36,409.53,416.0,29794270.0
2015-12-11,449.83,449.83,453.37,413.72,415.49,76433917.0
2015-12-12,432.29,432.29,467.71,403.69,449.83,91838640.0
2015-12-13,434.69,434.69,440.97,420.76,432.29,27898250.0
2015-12-14,442.0,442.0,449.45,428.84,434.69,97068568.0
2015-12-15,462.65,462.65,464.23,440.72,442.0,48912227.0
2015-12-16,453.98,453.98,465.16,437.37,462.65,84336145.0
2015-12-17,455.53,455.53,458.44,447.29,453.98,29344348.0
2015-12-18,463.18,463.18,466.12,453.46,455.53,38425211.0
2015-12-19,461.2,461.2,465.99,452.33,463.18,28327900.0
2015-12-20,441.78,441.78,462.76,431.1,461.2,54316484.0
2015-12-21,437.59,437.59,445.54,423.99,441.78,53270215.0
